"","text","screen_name","user_id","created_at","favourite_count","retweet_count","location","followers_count","friends_count","account_lang"
"1","RT @onnlyfeels: Being “ raised right “ doesn’t mean you don’t drink, party, and smoke. Being raised right is how you treat people, your man…","Rachit93781579",1369486305294348288,"2021-03-10 03:12:33",0,3385,"",4,76,NA
"2","RT @willowspov: 5SOS FINALLY LEFT MODEST AND THAT CALLS FOR A STREAMING PARTY
DROP ALL YOUR 5SOS FANCAMS RN","desertxwalls",1369486305273417728,"2021-03-10 03:12:33",0,12,"ot9 ➵ LM ",457,548,NA
"3","RT @BernieSanders: Interesting. The Republican Party claims to be the party of the working class. Yet, according to a recent Pew poll, 63%…","JasonVaran",1369486303880953856,"2021-03-10 03:12:33",0,7620,"Jacksonville",173,477,NA
"4","I took my quick weave apart while I was on my way home from the party 😭","Spicyn_slim",1369486303100866560,"2021-03-10 03:12:33",0,0,NA,NA,NA,NA
"5","RT @carmenchasela: Tea Party anyone ? 🫖💐 https://t.co/5lrmD6UFdm","larrimunoz",1369486302333263872,"2021-03-10 03:12:32",0,21,"New Jersey, USA",6692,283,NA
"6","RT @maggieNYT: He didn’t start his own party, which is complicated to do and be competitive, but Trump is trying to set himself up as the p…","DoyerGayle",1369486301985128448,"2021-03-10 03:12:32",0,2506,"Anywhere, USA",71,369,NA
"7","@MexJG1 @ANTICONQUISTA What the hell does that article and that party have to with the statement workers of the wor… https://t.co/BNhEknInLT","mambi26",1369486300898881536,"2021-03-10 03:12:32",0,0,"Cuban 🇨🇺 Yoruba ☭ M-L (They)",10458,434,NA
"8","RT @KanganaTeam: Looking at the current situation in the country it can be said that BJP is not a political party anymore it is a CULT and…","kosachand",1369486300663795712,"2021-03-10 03:12:32",0,4006,"India",46,495,NA
"9","the illusion of choice in a two party system https://t.co/z8gl7gFw99","godisafraidofme",1369486300114522112,"2021-03-10 03:12:32",0,0,"6’3”",135,50,NA
"10","@Haveyouseenth19 @LadyReverbs @DoneFlowar How the Democratic Party imploded in a swing State even though it was powered by huge $$$…","pablomelito1",1369486299527282688,"2021-03-10 03:12:32",0,0,"Central Florida",383,384,NA
"11","REQUEST @arashi5official @MTV #FridayLivestream

Please ""Whenever you call""by ARASHI !!!!!

(^O^)/(^O^)/(^O^)/(^O^)… https://t.co/JVdgPHz56O","ukyoh_amnos",1369486298612834304,"2021-03-10 03:12:32",0,0,"餃子の端っこ",222,264,NA
"12","RT @ProudSocialist: A sixth woman has come forward against @AndrewCuomo and Democrats are still defending him. Nobody in either party cares…","ShreoshiB",1369486297820098560,"2021-03-10 03:12:31",0,166,"Kolkata",3155,2742,NA
"13","RT @TeachToAmerica: So the state of the Republican Party is:

- Whining about canceling Dr. Seuss and Mr. Potato Head
- Whining about the B…","KitSprings",1369486297354694656,"2021-03-10 03:12:31",0,3,"Blue dot in forest/red state",5096,5546,NA
"14","Trying to write an AU of GtN where (besides other stuff) Cytherea doesn’t crash the party, and I just realized that… https://t.co/EUfxw1dz61","laminatednews",1369486297190985728,"2021-03-10 03:12:31",0,0,"",36,65,NA
"15","@RBReich None of them can be done by politics. Regardless of party","LibertyTre3",1369486294741622784,"2021-03-10 03:12:31",0,0,"Florida, USA",1092,649,NA
"16","RT @Paul_VanDerMeer: How is it possible that Americans that voted for a Republican don't understand? The Republican party doesn't give a fl…","godlessbutsunny",1369486292199878656,"2021-03-10 03:12:30",0,153,"",878,1355,NA
"17","@SgtSlag @LuluLuvely You only get third party in a few obvious places, one being the center of the map. It isn’t th… https://t.co/sxRAC9XStr","MacDaddyBass1",1369486290341728256,"2021-03-10 03:12:30",0,0,"",810,211,NA
"18","Y’all ever have a baby in a game just to flex on your party members who are unmarried?","nicmoiseyev",1369486290115235840,"2021-03-10 03:12:30",0,0,"Washington, DC",154,332,NA
"19","RT @SpecialPuppy1: It's a working-class party now! https://t.co/KPVLZtjx7w","AsmaraCool27",1369486289754611712,"2021-03-10 03:12:29",0,3,"",29,417,NA
"20","RT @RanbooSpotifys: Tubbo and Ranboo are currently in a listening party together :]","quackiteamo",1369486289330913280,"2021-03-10 03:12:29",0,116,"she/her 15 eng/esp",64,185,NA
"21","RT @TristanRiedford: To try and make the Combine seem a little less established in the world for HLA, we played around with their structure…","eoredthar",1369486286902484992,"2021-03-10 03:12:29",0,926,"",8,173,NA
"22","@LindseyGrahamSC You are a fool, you are not in politics for the party! You are there to serve the people! I am not impressed by you at all!","vermeer_willem",1369486283521851392,"2021-03-10 03:12:28",0,0,"Lagos, Nigeria",69,283,NA
"23","@mister_wynn ""presumption"" does not equal ""fact"" of innocence. #MorrisonRapeCrisis - self-made due to choosing not… https://t.co/4UtStndFNc","suemulhall",1369486283244851200,"2021-03-10 03:12:28",0,0,"Singapore",138,575,NA
"24","TOMORROW IS MY BIRTHDAY !!! SO LETS PARTY :D https://t.co/jvW8OBpx5K via @FacebookGaming #smallstreamer… https://t.co/XrpvnrEPp3","tetto32",1369486279449186304,"2021-03-10 03:12:27",0,1,"Jeddah",456,788,NA
"25","RT @YIonkOh2bL5tAVk: @KevanKenney @arashi5official @MTV REQUEST @arashi5official @MTV #FridayLivestream

I want you to know about ARASHI.
""…","wacoco5",1369486279264530432,"2021-03-10 03:12:27",0,3,"",16,129,NA
"26","RT @maggieNYT: “The former president is also being encouraged by people like Dick Morris, the notorious political consultant known for flip…","SandyKAlano",1369486277205102592,"2021-03-10 03:12:26",0,15,"Apache Junction, AZ",1188,846,NA
"27","@harrisonjaime @Bajagirl2 They have become the party of desperation.","MarcucciFrank",1369486276722909184,"2021-03-10 03:12:26",0,0,"",108,762,NA
"28","@GOPLeader Aren’t you tired of shoveling garbage every day, man? You just keep shoveling and shoveling. It’s all tr… https://t.co/whRNTLplS7","NTucc",1369486276513193984,"2021-03-10 03:12:26",0,0,"Troy, NY",581,967,NA
"29","RT @tendermoments2: @JohnJHarwood @HBRabinowitz The name of the gang is the Republican Party","Rita08538521",1369486275904954368,"2021-03-10 03:12:26",0,2,"",480,337,NA
"30","The Democrats are  Communist and  if the Military doesn't get off their asses and take over the Country. They are g… https://t.co/suamWzAhbU","StipesDede",1369486275636584448,"2021-03-10 03:12:26",0,0,"",1,51,NA
"31","RT @YouTube: #ROSÉ from @BLACKPINK in your area! Don't miss the premiere party for her new music video #OnTheGround on this week's episode…","fortunepieces",1369486275443527680,"2021-03-10 03:12:26",0,17127,"",1,213,NA
"32","RT @GreenPartyUS: 1. It's $25K in 20 states, not ""a"" state — $500K in small donations
 
2. Campaigns must do this during primaries *before*…","Hilbert_Chris",1369486274378207232,"2021-03-10 03:12:26",0,27,"DFW",708,813,NA
"33","RT @WalshFreedom: Because my former political party can’t win on the battlefield of ideas, they try to win by making it much harder for peo…","Wenlindy",1369486274072109056,"2021-03-10 03:12:26",0,3271,"St Louis, MO",66,460,NA
"34","RT @XingPark: 210309 @lay_studio Weibo update：The studio has made a statement regarding an individual's claim of being conned by a work opp…","chaniloeyvoices",1369486271807066112,"2021-03-10 03:12:25",0,628,"Indonesia",2374,3244,NA
"35","RT @fionayamamoto: Pronoun experiment, is it clear who I’m talking about?

Peter and Lucy met at a party. Lucy was a perfectionist. They ha…","transperbole",1369486271165259776,"2021-03-10 03:12:25",0,3,"",1456,668,NA
"36","RT @MeidasTouch: Trump is now literally begging his supporters to donate money to him and not the Republican Party. It's as hilarious as it…","BensonFocus",1369486270871838720,"2021-03-10 03:12:25",0,3936,"Lincoln, Nebraska",168,334,NA
"37","RT @kyawwin78: #NLD member Ko Zaw Myat Linn arrested last night and today morning family was informed he is dead. Targeting &amp; intentionally…","khantwintwarbo2",1369486269286256640,"2021-03-10 03:12:25",0,220,"",145,596,NA
"38","RT @LeftistMoniker: Stop telling me we are moving this party left.  Stop even suggesting it.  The Squad?  Please bitch.  The Squad can get…","FinlayPuffin",1369486265872093184,"2021-03-10 03:12:24",0,6,"",292,354,NA
"39","RT @dilanpcook: the fact that Biden got raytheon $85 million before he got anybody a cent in relief during a pandemic is very Democratic pa…","RalphScenic",1369486265297432576,"2021-03-10 03:12:24",0,6107,"",11855,10995,NA
"40","- cynthia's being messy right now bringing up kenya's rescinded invitation to porsha *at* the party","BlkGrlBrilliant",1369486261984129024,"2021-03-10 03:12:23",0,0,"I don't argue with strangers on the internet.",4421,2631,NA
"41","RT @rohanrgupta: After the entry of Cobra in the party , BJP will be shortly declared as a Zoo with different kinds of Animals !","NsuiGaurav",1369486261568864256,"2021-03-10 03:12:23",0,550,"Dongargaon, India",971,439,NA
"42","RT @mini_bubbly: Stop delaying a vote on this bill, if the CPC party really wanted to support small businesses, they would vote on it.  Lib…","gail_sloane",1369486259693969408,"2021-03-10 03:12:22",0,1,"Halifax, Nova Scotia",1123,585,NA
"43","RT @Satyanewshi: March 20th Trinamool will lose 2 more MPs . Sisir Adhikari, Dibyendu Adhikari to be present in PM Modi's rally . Likely to…","Avyukt_23",1369486258850861056,"2021-03-10 03:12:22",0,15,"Karnataka ",181,1399,NA
"44","@TaraSetmayer @lptv LP is one of the main reasons for me deciding to leave the Republican Party. I never voted for… https://t.co/zbV8EpBqaN","kay_harbin",1369486258393780224,"2021-03-10 03:12:22",0,0,"USA",844,3149,NA
"45","@MaryProffitt14 Today’s “conservatives” are an embarrassment to the Republican Party of old.","Daksthetruth",1369486256409878528,"2021-03-10 03:12:22",0,0,"",3759,4870,NA
"46","RT @JILLSLASTWORD: BREAKING NEWS: @OntarioNDP reveals @fordnation gov't is handing out more MZOs to benefit PC party donors and insiders. S…","TheAwkwardDrop",1369486254019121152,"2021-03-10 03:12:21",0,375,"Toronto",779,501,NA
"47","RT @moon_moon0910: Please help. Someone sees the box transferred to the Gulf birthday party. You can directly send me a private message!  I…","xttqh2017",1369486253427617792,"2021-03-10 03:12:21",0,103,"",115,715,NA
"48","@SophiePointer @Monocotyledon That's entirely up the Liberal Party and its members. There are 1.7 million WA voters… https://t.co/Vs5nhJ3I9x","AntonyGreenABC",1369486253108830208,"2021-03-10 03:12:21",0,0,"Sydney, Australia",174397,125,NA
"49","@RealCandaceO did you say that hispanics and blacks are fleeing to the republican party because they are tired of b… https://t.co/PEznAZPHdF","qveenfrancis",1369486248428122112,"2021-03-10 03:12:20",0,0,"",257,351,NA
"50","RT @LOUnitedOFC_: !!! TWITTER PARTY FOR LOU !!!

Join and tweet with us using the official tagline of the day:

WEDNeedToUnLOUck 100kSubs…","TetrixToledo",1369486246590869504,"2021-03-10 03:12:19",0,19,"",186,315,NA
"51","RT @tokitaeII: QAnon shaman's 60 Minutes interview backfired as judge Royce C. Lamberth says: ""Defendant's perception of his actions on Jan…","EisOnMN",1369486245815062528,"2021-03-10 03:12:19",0,183,"Minnesota, USA",3710,4904,NA
"52","@MikeCrapo @SenJohnThune @LeaderMcConnell You Republicans really go right to the heart of what matters to working A… https://t.co/ujeIXr6W7E","BrianLWilcox",1369486245705904128,"2021-03-10 03:12:19",0,0,"Oxnard, CA",699,463,NA
"53","@choochoobear I am currently in a game with an all goblin party and the long suffering dwarf assigned to us by his… https://t.co/OTvJnUXnsv","IsraelZws",1369486245634609152,"2021-03-10 03:12:19",0,0,"I am the wind, I am everywhere",2,46,NA
"54","You gotta understand how hard I use to party to understand why Im so chill now, hell plus I got 2 kids 😂","LetsBeReal13",1369486245022294016,"2021-03-10 03:12:19",0,0,"Tulsa, Ok",860,684,NA
"55","RT @veni_ramachndrn: You know nothing about him or the Party https://t.co/VKSbD4ZaOH","Shahabu186",1369486244351143936,"2021-03-10 03:12:19",0,242,"",2156,4969,NA
"56","@AntonyGreenABC It was hard deciding the last 20 or so numbers between all the many, many numpty groups - Antivax,… https://t.co/cE835MW7EK","electricrabbit0",1369486243692617728,"2021-03-10 03:12:18",0,0,"",3,21,NA
"57","👏🏼👏🏼👏🏼
💯

CPC = Christofascist Party of Canada

#CDNPoli  
#CPC #CPCNonsense https://t.co/QR4IazPV4y https://t.co/oihMzGtf3f","Swift01_2000",1369486242820333568,"2021-03-10 03:12:18",0,0,"Toronto, Canada",1303,2678,NA
"58","RT @poppymcp: OFFICIAL FROM SUU KYI'S NLD PARTY DIES IN CUSTODY AFTER ARREST - FORMER MYANMAR MP (@Reuters)

-- This is the second official…","darkqueen699",1369486242673532928,"2021-03-10 03:12:18",0,4399,"",0,40,NA
"59","RT @RalstonReports: Co-chair of Las Vegas Democratic Socialists and state party central committee member who helped elect new leadership ha…","Pauchy_Muskrat",1369486242589577216,"2021-03-10 03:12:18",0,133,"",6,225,NA
"60","#pickme implies that women aren't allowed to have their own opinions, and must always toe the feminist party line.… https://t.co/WHboSqOgIH","strange_tuna",1369486241478021120,"2021-03-10 03:12:18",0,0,"Planut Hurth",4,4,NA
"61","RT @LazadaPH: A #LazadaPH party won't be complete without @ActorLeeMinHo! 💙

Here's your behind-the-scenes look at oppa getting ready to ce…","ps_minho",1369486241259954176,"2021-03-10 03:12:18",0,51,"",2556,424,NA
"62","RT @ABCWorldNews: The main leaseholder of an Oakland warehouse that caught fire during a party in 2016, killing 36 people, was sentenced Mo…","BKells8",1369486241134223360,"2021-03-10 03:12:18",0,5,"Chester SC",1360,2026,NA
"63","RT @RSBNetwork: Statement by Donald J. Trump, 45th President of the United States of America

I fully support the Republican Party and impo…","markal6460",1369486240534454272,"2021-03-10 03:12:18",0,1046,"Des Moines Iowa",85,173,NA
"64",".@WWE my old friend is upset that he was hungry and it smell bad at @WWE because of all the fat guys around him and… https://t.co/PERAPC43VZ","freewillagain",1369486240534429696,"2021-03-10 03:12:18",0,0,"earth ",42,296,NA
"65","RT @LeftieStats: Poll of 2019 Labour voters: ""At this moment, which of the following individuals do you think would be the better Leader of…","burberryant",1369486239494180864,"2021-03-10 03:12:17",0,51,"Columbus, OH",7454,5786,NA
"66","@maddow Please post this segment with @marceelias, and the intro segment leading up to it, “Party Foul.” So important.","MrsRoadshow",1369486238441381888,"2021-03-10 03:12:17",0,0,"San Jose, CA",3198,3209,NA
"67","@ShinigamiLux @peky_chu I’m a neutral party in this bro","fuckmoddy",1369486237988515840,"2021-03-10 03:12:17",0,0,"20 / Happy ",805,822,NA
"68","RT @secupp: Trump LOST: the presidency, the House, the Senate, the trust of American voters, the belief in free and fair elections, the cre…","RaspberryGoulet",1369486237418086400,"2021-03-10 03:12:17",0,17651,"Asheville, North Carolina",328,285,NA
"69","@GroverTdog @TheHugHouse @CoopersCornerTD @irisesther54 @SteveStuffie @sugar88111 @scouty4 @Helen09Porter… https://t.co/kEnyZ9Ncug","PeytonReads",1369486236226818048,"2021-03-10 03:12:17",0,0,"",6694,2002,NA
"70","@jaykass6502 The celebration was not quick either.  Moving that ship was party time.  s/o @ljwhite28 https://t.co/cjLMxMUVhf","GuillarmoSalva1",1369486235803258880,"2021-03-10 03:12:17",0,0,"",106,534,NA
"71","RT @TostevinM: Another official from Aung San Suu Kyi's NLD party has died in custody after being detained, an elected member of the now di…","Chocho85470341",1369486233735360512,"2021-03-10 03:12:16",0,9457,"",14,30,NA
"72","RT @pandaLOVEsho1: @KevanKenney @MTV REQUEST @arashi5official @MTV #FridayLivestream    

Thank you, Kevan!
ARASHI's music is never end.

嵐…","wacoco5",1369486228538548224,"2021-03-10 03:12:15",0,1,"",16,129,NA
"73","@telltaleatheist Replace the last one with ranked choice voting and I'm 1000% behind you. Refusing to vote when you… https://t.co/rCcQ7GQBVQ","JosephT47844140",1369486227628462080,"2021-03-10 03:12:15",0,0,"",5,54,NA
"74","RT @GloryDoge: Today is a good day 🎶 Let's get this
Party started and pump Dogecoin 
to .07 tonight! #dogecoin #doge 
#DogecoinRise #DogePu…","alannah_santos",1369486227381096448,"2021-03-10 03:12:15",0,28,"",0,4,NA
"75","@AngelMHart417 Agree, the hate is so strong they vote for a party who sole purpose is to keep the very people who p… https://t.co/hRszcSJcUU","martycan1",1369486225674039296,"2021-03-10 03:12:14",0,0," Canada🇨🇦 ",5585,5460,NA
"76","@Exposn4Humanity @Glenna45068207 @JackNationalist @YouTube Try to get beyond comparisons to Trudeau
 (a disgrace) a… https://t.co/HSUhHXr7rx","WayneDevlin5",1369486224444911616,"2021-03-10 03:12:14",0,0,"A free nation at any cost",190,285,NA
"77","OK BUT IMAGINE THIS LADYBUG AND CHAT NOIR FIGHTING THEN THE MUSIC THEY DANCED TO ON CHLOE'S PARTY STARTS TO OLAY AN… https://t.co/AtWW0hwPYQ","notchatnoirr",1369486224314957824,"2021-03-10 03:12:14",0,0,"she/her ",230,253,NA
"78","tae tae needs to hurry up &amp; send my invite to his playboy bday party so i can gone head &amp; buy my costume.🙄","SHESOGEN",1369486223316824064,"2021-03-10 03:12:14",0,0,"",1152,146,NA
"79","RT @MicaBurton: Reason 3,400,678 I love FFXIV: I tanked a dungeon as the tiniest cat girl possible in all pink while the rest of the party…","GreemSpade",1369486222612168704,"2021-03-10 03:12:13",0,207,"",35,453,NA
"80","RT @EXO_saints: Hello, we're currently doing GAs for the following events:

🚨 FANPLUS VOTING FOR KAI,  SUHO AND BAEKHYUN
✨PRIZES: BBL SUBS,…","finallythejuan",1369486222322626560,"2021-03-10 03:12:13",0,8,"comfy lair",322,873,NA
"81","@BreonnaGhane Check me out I’m up next 😅

https://t.co/TZ2AwXtdZ1","MikeBrazey",1369486221974593536,"2021-03-10 03:12:13",0,0,"",5599,2910,NA
"82","RT @BrillantsTrends: Hi,fam!Check your GDMs for the tagline for our twitter party later. You can DM us or @BrillantsOFC for the tagline.See…","intoblythe_",1369486221710290944,"2021-03-10 03:12:13",0,8,"",156,194,NA
"83","RT @abhishekifmr: Cc @rituias2003 @shalabhmani : please can you see why Third party is not paying salaries https://t.co/AFGhSaZ3Ko","Dubeysanjay14",1369486221341171712,"2021-03-10 03:12:13",0,51,"Varanasi, India",89,102,NA
"84","RT @silentfan0011: Twitter party alert!!!

WEDNeedToUnLOUck 100kSubs https://t.co/gtaYk7T2Uv","TetrixToledo",1369486219155927040,"2021-03-10 03:12:13",0,6,"",186,315,NA
"85","@MikeSta97368517 But its the truth.. ya party don't give a damn about you and your family 😂😂😂😂.. https://t.co/31joor7v4J","Dee_cannon0714",1369486218988249088,"2021-03-10 03:12:13",0,0,"cincinnati,ohio",104,734,NA
"86","RT @GramsciFag69: I think it's amazing that the Democratic Party paid BrooklynDad $60,000 to tweet that the Capitol riot was worse than 9/1…","CheshireDude",1369486218426281984,"2021-03-10 03:12:12",0,358,"",81,123,NA
"87","RT @cleasgirl7: Ain't no party like a Fisk party!#Fisk_RYS21","cleasgirl7",1369486217243418624,"2021-03-10 03:12:12",0,15,"Nashville, TN",50,56,NA
"88","RT @peace_Brw: Indian Women's Cricket Team too joins in #VaathiComing 's Party !!

#1YearOfVaathiComing | #Master https://t.co/jeXC0Ekt6J","Hell_Boy_Twitz",1369486210247233536,"2021-03-10 03:12:11",0,240,"Alone 👁️ ",5049,3776,NA
"89","RT @MKG_II_0: Rahul G could have become President of Congress party, but has become President in waiting since ages in his own party 😂😂

Is…","Dubeysanjay14",1369486209999728640,"2021-03-10 03:12:10",0,62,"Varanasi, India",89,102,NA
"90","RT @AngelWarrior320: The FBI ... corrupt 
The CIA ... corrupt 
The DOJ ... corrupt 
The Supreme Court ... corrupt 
Democrat Party ... corru…","chapjt",1369486208162689024,"2021-03-10 03:12:10",0,342,"",1312,1516,NA
"91","@naveenrjy only if the other party has a political motive ..... 

do u still think ours is a democratic country .....","enduku_neku",1369486208024256512,"2021-03-10 03:12:10",0,0,"",447,1046,NA
"92","RT @gill_godwin: @JulieYAli @TheBlueGem3 @GlobalEdmonton @suepeac @liberal_party An easy ask is not necessarily a shut down.  
But delays p…","JulieYAli",1369486206723969024,"2021-03-10 03:12:10",0,1,"",2086,4997,NA
"93","RT @gcfslily: i see we're doing a 20+ follow party again? this was lots of fun last time so let me join hehe

i'm Anne, 22, she/her. Yoonko…","artsjjkth",1369486206082281472,"2021-03-10 03:12:10",0,18,"bts paved the way",659,383,NA
"94","Mannn I love some party and drake","MacaahT",1369486204828332032,"2021-03-10 03:12:09",0,0,"",3387,3162,NA
"95","@flickerofghosts I got here when  sunflower1d started the listening party and was tweeting the hashtag screaming th… https://t.co/LnM39T2gNE","_chence_",1369486204496867328,"2021-03-10 03:12:09",0,0,"",636,1051,NA
"96","RT @ThtKashmiriGuy: In 6 year's andh bhakti changed history of KASHMIR and map of AYODHYA

But from 70 year's they are not able to find par…","Meghnaad_",1369486204001943552,"2021-03-10 03:12:09",0,58,"41°1'N 28°57'E",400,905,NA
"97","RT @soezeya: Military and police having a party at parliament in Naypyitaw on Tuesday night. Later deleted their FB live #WhatsHappeningInM…","HsuMyat71120",1369486198197030912,"2021-03-10 03:12:08",0,3260,"",217,196,NA
"98","RT @EQBcoach: I'm pretty much the last guy to the party on this but I wanted to give a shout to Bergen Cath QB ('22) Steve Angeli on his ve…","tufact2follow",1369486197387624448,"2021-03-10 03:12:07",0,3,"Jersey",83,249,NA
"99","RT @SouleFacts: “In this Bharatvarsha Mughals ruled for 800 years.....Inshallah, our party AIUDF will come to power thru UPA, and we will c…","Darunkar1972",1369486196754112512,"2021-03-10 03:12:07",0,88,"Nagpur, India",818,1041,NA
"100","@LLakhdhir They are targeting CDM workers, in railway residential area. They arrest CDM workers and NLD party membe… https://t.co/tkSMhY4nPi","myo_thidawin",1369486195579744256,"2021-03-10 03:12:07",0,0,"New York, NY",34,82,NA
"101","I shook BIG’s hand once. I was at that Vibe party. When the shots rang out, I ducked in an alley with Foxy Brown, K… https://t.co/W42lYbanTM","addceason",1369486194807992320,"2021-03-10 03:12:07",0,0,"OaklandUSA",2146,873,NA
"102","RT @mj_hiroko: @KevanKenney @MTV REQUEST @arashi5official @MTV #FridayLivestream    

Thank you, Kevan!
ARASHI's music is never end.

嵐 / P…","wacoco5",1369486194531176448,"2021-03-10 03:12:07",0,2,"",16,129,NA
"103","RT @najaemland: wts / want to sell

- game card jaemin set 

☆ 30k | inc safe packaging
★ based on bogor 

dm if u're interested !!

t. lfb…","cvtienono",1369486193738481664,"2021-03-10 03:12:07",0,5,"she/her | 5TEEN",141,157,NA
"104","RT @pseudosudio: @AdamParkhomenko @Kauairockchick Republicans are out in the open fighting for a white nationalist America.

I always said…","sanacardi",1369486193092567040,"2021-03-10 03:12:06",0,3,"Henderson. Nevada",2730,3371,NA
"105","RT @JordanSchachtel: Fauci shared a stage last week with a Chinese Communist Party official. He urged greater collaboration with the CCP.…","jkdeppe",1369486192354418688,"2021-03-10 03:12:06",0,867,"",3067,3737,NA
"106","Roam and stroll, see what the honeys is about
Moet popping, ho hopping 
- Party and Bullshit https://t.co/AsjZdSGxaH","EatWithNia",1369486190441869312,"2021-03-10 03:12:06",0,0,"La Bodega ",3955,753,NA
"107","@gill_godwin @TheBlueGem3 @GlobalEdmonton @suepeac @liberal_party Once the Yahoos decide in AB, it's hard for the f… https://t.co/KRDFnRfdUB","JulieYAli",1369486188747235328,"2021-03-10 03:12:05",0,0,"",2086,4997,NA
"108","lrt. the last two are memes of my dnd party and my tiefling i LOVE ITHM SM","a14thmusician",1369486188042653696,"2021-03-10 03:12:05",0,0,"21 | she/her | bi",450,841,NA
"109","RT @TheFaiao: gnight https://t.co/YMije2Rlhe","wurmple_party",1369486187287605248,"2021-03-10 03:12:05",0,6,"Upland, CA",153,889,NA
"110","RT @OnlyBabaSehgal: Let’s celebrate- Let’s Party and enjoy the Club remix on this special occasion of Pawan Kalyan’s birthday 🎁 
Full Video…","kirankalyan2001",1369486185718943744,"2021-03-10 03:12:05",0,6890,"",40,16,NA
"111","RT @Sites4Congress: Jim Jordan rammed through a tax cut for billionaires on a party line vote using reconciliation.

Now he has a problem w…","hffrkmp",1369486182921420800,"2021-03-10 03:12:04",0,1765,"USA",102,471,NA
"112","REQUEST @arashi5official @MTV #FridayLivestream

I want to listen to ""Whenever You Call""
♡*゜+.*.。♡*゜+.。♡
ARASHI♪Tur… https://t.co/8FN3tHq96W","ya_masaki2410",1369486182501945344,"2021-03-10 03:12:04",0,0,"",489,863,NA
"113","RT @MehdiHasanShow: ""Put your signature on the [Covid] check,"" @StephanieKelton tells Biden &amp; Dems. ""Make it clear that voting for Democrat…","warriorrabbit",1369486182220898304,"2021-03-10 03:12:04",0,34,"San Diego",499,974,NA
"114","A conservative party dark $ and staff dumping ground ( ctf and cpc recycle merchants of doubt for pundit panels) https://t.co/hBdUQOG3Dz","1loriking",1.369486179805e+18,"2021-03-10 03:12:03",0,0,"Qc/BC Canadian ",4779,5035,NA
"115","RT @JeremyWard33: Schumer ""forced...to straddle his party's centrist and progressive wings, a trick he will have to master...""  

LMFAO htt…","CleverMonsterCT",1369486179406610432,"2021-03-10 03:12:03",0,1,"Connecticut, USA",1739,2771,NA
"116","REQUEST @arashi5official @MTV #FridayLivestream
 
ARASHI is a JPOP group from Johnny and Associates.
I love their m… https://t.co/0nYgp9SqJj","Breeze_0302",1369486178949296128,"2021-03-10 03:12:03",0,0,"",161,194,NA
"117","RT @ACTBrigitte: If we're cancelling everything with a racist history, why haven't we cancelled the Democrat Party?","Evil5811",1369486177946923008,"2021-03-10 03:12:03",0,1892,"California, USA 😖",333,2373,NA
"118","@barbaramahle23 ""presumption"" does not equal ""fact"" of innocence. #MorrisonRapeCrisis - self-made due to choosing n… https://t.co/enX4mllICZ","suemulhall",1369486177598771200,"2021-03-10 03:12:03",0,0,"Singapore",138,575,NA
"119","RT @YouTube: Join #ROSÉ from @BLACKPINK for her music video premiere party on this week's episode of #RELEASEDonYT! Set a reminder to tune…","adjdctRion",1369486176424325120,"2021-03-10 03:12:02",0,575,"Depok, Jawa Barat",698,318,NA
"120","The world should know and love ARASHI.
""Whenever You Call"" truly amazing.

REQUEST @arashi5official @MTV… https://t.co/RvrLYokEEj","Breeze_0302",1369486176181121024,"2021-03-10 03:12:02",0,0,"",161,194,NA
"121","RT @Rise_NUEST: Basically we gonna have Mention Party on weverse. You can drop ur message and nuest will come and reply you, ( if lucky). G…","namn78",1.369486175489e+18,"2021-03-10 03:12:02",0,1,"NU'NIVERSITY Studio with JR",964,787,NA
"122","@lieholepiehole you know that birthday cake that you used to get at McDonald's if you hosted your party there","NickHannula",1369486174889402368,"2021-03-10 03:12:02",2,0,"Minneapolis/Saint Paul, MN",1194,927,NA
"123","@uru_pel :O Warloock~ I've got a Fiend Pact Warlock for CoS right now (and since our DM let our little party run a… https://t.co/C6dDeuEYQf","tyvaniafterdark",1369486173077467136,"2021-03-10 03:12:02",0,0,"Minors / No age = BLOCKED",55,191,NA
"124","RT @NewshubPolitics: Upcoming Rocket Lab launch carrying US Army satellite breaches NZ's national security - Greens https://t.co/LGiXUFcHl5","NewshubNZ",1369486172146180096,"2021-03-10 03:12:01",0,2,"New Zealand",72176,2035,NA
"125","REQUEST @arashi5official @MTV #FridayLivestream

"" Whenever You Call "" is a kind of ballad. This song is very preci… https://t.co/pqgLSgF0Mo","Breeze_0302",1369486170560679936,"2021-03-10 03:12:01",0,0,"",161,194,NA
"126","@up_texan @NBCNews @NBCNewsTHINK Why would anyone be die hard for any party?
#CountryOverParty","EknoidMrs",1369486170330071040,"2021-03-10 03:12:01",0,0,"3rd orbital mass",378,1170,NA
"127","RT @henryrodgersdc: INBOX: New Trump Statment. ""I fully support the Republican Party and important GOP Committees, but I do not support RIN…","daily_stir",1369486168446803968,"2021-03-10 03:12:01",0,297,"Former US Republic",737,223,NA
"128","REQUEST @arashi5official @MTV #FridayLivestream
 
ARASHI's music is great! "" Whenever You Call "" was made by the gl… https://t.co/UUjMakZYlQ","Breeze_0302",1369486167314296832,"2021-03-10 03:12:00",0,0,"",161,194,NA
"129","@naeemthedream_ Thank you cuz 😘... i have a party Saturday","Pink_NellPolish",1369486164814659584,"2021-03-10 03:12:00",0,0,"Nola baby! ⚜️🎭",1766,2005,NA
